canonical_name,canonical_address,overlay_space,overlay_offset_hex,overlay_name,match_kind
FUN_13e4_00a2,13e4:00a2,ram,3ee2,FUN_0000_3ee2,exact
FUN_13f1_000a,13f1:000a,ram,3f1a,FUN_0000_3f1a,exact
FUN_13f1_00a6,13f1:00a6,ram,3fb6,FUN_0000_3fb6,exact
FUN_13f1_0158,13f1:0158,ram,4068,FUN_0000_4068,exact
FUN_13f1_02b4,13f1:02b4,ram,41c4,FUN_0000_41c4,exact
FUN_13f1_02f8,13f1:02f8,ram,4208,FUN_0000_4208,exact
FUN_1427_0002,1427:0002,ram,4272,FUN_0000_4272,exact
FUN_1427_0026,1427:0026,ram,4296,FUN_0000_4296,exact
FUN_1427_004a,1427:004a,ram,42ba,FUN_0000_42ba,exact
FUN_1427_005c,1427:005c,ram,42cc,FUN_0000_42cc,exact
FUN_1427_012e,1427:012e,ram,439e,FUN_0000_439e,exact
FUN_1427_0164,1427:0164,ram,43d4,FUN_0000_43d4,exact
FUN_1427_0180,1427:0180,ram,43f0,FUN_0000_43f0,exact
FUN_1427_01dc,1427:01dc,ram,444c,FUN_0000_444c,exact
FUN_1427_0204,1427:0204,ram,4474,,gap
FUN_1427_023a,1427:023a,ram,44aa,FUN_0000_44aa,exact
FUN_1427_02ca,1427:02ca,ram,453a,FUN_0000_453a,exact
FUN_1427_0362,1427:0362,ram,45d2,FUN_0000_45d2,exact
FUN_1427_037e,1427:037e,ram,45ee,FUN_0000_45ee,exact
FUN_1427_03a0,1427:03a0,ram,4610,,gap
FUN_1427_040c,1427:040c,ram,467c,FUN_0000_467c,exact
FUN_1427_043e,1427:043e,ram,46ae,FUN_0000_46ae,exact
FUN_1427_04d6,1427:04d6,ram,4746,FUN_0000_4746,exact
FUN_1427_0644,1427:0644,ram,48b4,,gap
FUN_1427_065a,1427:065a,ram,48ca,FUN_0000_48ca,exact
FUN_1427_06b4,1427:06b4,ram,4924,FUN_0000_4924,exact
FUN_1427_0824,1427:0824,ram,4a94,FUN_0000_4a94,exact
FUN_1427_08ea,1427:08ea,ram,4b5a,FUN_0000_4b5a,exact
FUN_1427_0954,1427:0954,ram,4bc4,FUN_0000_4bc4,exact
FUN_1427_0968,1427:0968,ram,4bd8,FUN_0000_4bd8,exact
FUN_1427_0992,1427:0992,ram,4c02,FUN_0000_4c02,exact
FUN_1427_09ac,1427:09ac,ram,4c1c,FUN_0000_4c1c,exact
FUN_1427_09dc,1427:09dc,ram,4c4c,FUN_0000_4c4c,exact
FUN_1427_0ab0,1427:0ab0,ram,4d20,FUN_0000_4d20,exact
FUN_1427_0b08,1427:0b08,ram,4d78,FUN_0000_4d78,exact
FUN_1427_0bce,1427:0bce,ram,4e3e,FUN_0000_4e3e,exact
FUN_1427_0bfe,1427:0bfe,ram,4e6e,FUN_0000_4e6e,exact
FUN_1427_0c72,1427:0c72,ram,4ee2,FUN_0000_4ee2,exact
FUN_1427_0c9a,1427:0c9a,ram,4f0a,FUN_0000_4f0a,exact
FUN_1427_0ce6,1427:0ce6,ram,4f56,,gap
FUN_1427_0d1e,1427:0d1e,ram,4f8e,FUN_0000_4f8e,exact
FUN_1427_0d38,1427:0d38,ram,4fa8,FUN_0000_4fa8,exact
FUN_1427_0f0e,1427:0f0e,ram,517e,,gap
FUN_1427_0f30,1427:0f30,ram,51a0,,gap
FUN_1427_0f64,1427:0f64,ram,51d4,,gap
FUN_1427_0f74,1427:0f74,ram,51e4,FUN_0000_51e4,exact
FUN_1427_0f8e,1427:0f8e,ram,51fe,FUN_0000_51fe,exact
FUN_1427_0fa0,1427:0fa0,ram,5210,,gap
FUN_1427_0fc0,1427:0fc0,ram,5230,,gap
FUN_1427_0fec,1427:0fec,ram,525c,,gap
FUN_1427_101c,1427:101c,ram,528c,FUN_0000_528c,exact
FUN_1427_10be,1427:10be,ram,532e,FUN_0000_532e,exact
FUN_1427_1284,1427:1284,ram,54f4,FUN_0000_54f4,exact
FUN_1427_12c6,1427:12c6,ram,5536,FUN_0000_5536,exact
FUN_1427_12f6,1427:12f6,ram,5566,FUN_0000_5566,exact
FUN_1427_1330,1427:1330,ram,55a0,,gap
FUN_1427_13b0,1427:13b0,ram,5620,FUN_0000_5620,exact
FUN_1427_1410,1427:1410,ram,5680,FUN_0000_5680,exact
FUN_1427_14a0,1427:14a0,ram,5710,,gap
FUN_1427_14f4,1427:14f4,ram,5764,,gap
FUN_1427_155e,1427:155e,ram,57ce,FUN_0000_57ce,exact
FUN_157e_0008,157e:0008,ram,57e8,FUN_0000_57e8,exact
FUN_157e_004a,157e:004a,ram,582a,FUN_0000_582a,exact
FUN_157e_015e,157e:015e,ram,593e,FUN_0000_593e,exact
FUN_15b3_0004,15b3:0004,ram,5b34,FUN_0000_5b34,exact
FUN_15b3_0032,15b3:0032,ram,5b62,FUN_0000_5b62,exact
FUN_15b3_0066,15b3:0066,ram,5b96,,gap
FUN_15b3_00d0,15b3:00d0,ram,5c00,,gap
FUN_15b3_0144,15b3:0144,ram,5c74,FUN_0000_5c74,exact
FUN_15b3_0198,15b3:0198,ram,5cc8,,gap
FUN_15b3_01e0,15b3:01e0,ram,5d10,FUN_0000_5d10,exact
FUN_15b3_0228,15b3:0228,ram,5d58,,gap
FUN_15b3_024e,15b3:024e,ram,5d7e,FUN_0000_5d7e,exact
FUN_15b3_0274,15b3:0274,ram,5da4,,gap
FUN_15dc_0006,15dc:0006,ram,5dc6,FUN_0000_5dc6,exact
